Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"May 29, 2020",5/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,755.735369
"May 30, 2020",5/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,708.190163
"May 31, 2020",5/31/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,650.72701
"June 1, 2020",6/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,756.250975
"June 2, 2020",6/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,786.285288
"June 3, 2020",6/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,800.220641
"June 4, 2020",6/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,816.121028
"June 5, 2020",6/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,812.293487
"June 6, 2020",6/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,753.947655
"June 7, 2020",6/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,687.602147
"June 8, 2020",6/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,800.770586
"June 9, 2020",6/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,825.304153
"June 10, 2020",6/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,834.487707
"June 11, 2020",6/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,784.710637
"June 12, 2020",6/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,805.965824
"June 13, 2020",6/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,758.470686
"June 14, 2020",6/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,687.130499
"June 15, 2020",6/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,775.97694
"June 16, 2020",6/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,791.783754
"June 17, 2020",6/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,793.579969
